index,category,description
6345,spam email,"Limited offer, earn money fast from home"
6346,spam email,Get rich quick with this simple trick
6347,ham email,Meeting scheduled for tomorrow at 10 AM
6348,spam email,You have been selected for a prize reward
6349,spam email,"Limited offer, earn money fast from home"
6350,spam email,Urgent: update your bank details immediately
6351,ham email,Reminder to submit your timesheet
6352,spam email,"Your account has been compromised, verify now"
6353,ham email,Meeting scheduled for tomorrow at 10 AM
6354,spam email,You have been selected for a prize reward
6355,spam email,"Congratulations, you won a lottery"
6356,spam email,"Limited offer, earn money fast from home"
6357,ham email,Project update: tasks completed
6358,spam email,Urgent: update your bank details immediately
6359,spam email,Urgent: update your bank details immediately
6360,ham email,Reminder to submit your timesheet
6361,spam email,"Congratulations, you won a lottery"
6362,ham email,Can we reschedule our call?
6363,ham email,"Happy birthday, have a great day"
6364,spam email,Get rich quick with this simple trick
6365,spam email,"Congratulations, you won a lottery"
6366,ham email,"Happy birthday, have a great day"
6367,ham email,Meeting scheduled for tomorrow at 10 AM
6368,ham email,Can we reschedule our call?
6369,spam email,"Congratulations, you won a lottery"
6370,ham email,Let's catch up this weekend
6371,ham email,Project update: tasks completed
6372,spam email,"Congratulations, you won a lottery"
6373,spam email,Get rich quick with this simple trick
6374,spam email,You have been selected for a prize reward
6375,spam email,"Congratulations, you won a lottery"
6376,spam email,"Exclusive deal just for you, click now"
6377,spam email,You have been selected for a prize reward
6378,ham email,Invitation to team meeting
6379,spam email,"Your account has been compromised, verify now"
6380,spam email,"Win a free iPhone now, click here"
6381,spam email,Claim your free gift card today
6382,spam email,"Your account has been compromised, verify now"
6383,ham email,Reminder to submit your timesheet
6384,spam email,"Your account has been compromised, verify now"
6385,ham email,Project update: tasks completed
6386,ham email,Invitation to team meeting
6387,spam email,"Exclusive deal just for you, click now"
6388,ham email,Meeting scheduled for tomorrow at 10 AM
6389,spam email,"Congratulations, you won a lottery"
6390,ham email,Reminder to submit your timesheet
6391,ham email,Let's catch up this weekend
6392,ham email,Project update: tasks completed
6393,spam email,"Limited offer, earn money fast from home"
6394,spam email,"Your account has been compromised, verify now"
6395,ham email,Can we reschedule our call?
6396,ham email,Project update: tasks completed
6397,spam email,You have been selected for a prize reward
6398,spam email,Claim your free gift card today
6399,ham email,Project update: tasks completed
6400,ham email,Meeting scheduled for tomorrow at 10 AM
6401,ham email,Project update: tasks completed
6402,ham email,"Happy birthday, have a great day"
6403,ham email,Project update: tasks completed
6404,spam email,Act now to secure your reward
6405,ham email,Let's catch up this weekend
6406,ham email,"Happy birthday, have a great day"
6407,spam email,Act now to secure your reward
6408,ham email,Lunch plan for today?
6409,spam email,"Congratulations, you won a lottery"
6410,spam email,You have been selected for a prize reward
6411,spam email,Claim your free gift card today
6412,ham email,Lunch plan for today?
6413,ham email,Let's catch up this weekend
6414,spam email,"Limited offer, earn money fast from home"
6415,spam email,"Congratulations, you won a lottery"
6416,ham email,Lunch plan for today?
6417,ham email,Project update: tasks completed
6418,ham email,Let's catch up this weekend
6419,spam email,Urgent: update your bank details immediately
6420,ham email,Meeting scheduled for tomorrow at 10 AM
6421,spam email,Urgent: update your bank details immediately
6422,ham email,Invitation to team meeting
6423,spam email,You have been selected for a prize reward
6424,spam email,"Limited offer, earn money fast from home"
6425,ham email,Invitation to team meeting
6426,ham email,Weekly report submission
6427,spam email,"Congratulations, you won a lottery"
6428,spam email,You have been selected for a prize reward
6429,ham email,Meeting scheduled for tomorrow at 10 AM
6430,spam email,Act now to secure your reward
6431,spam email,"Exclusive deal just for you, click now"
6432,spam email,Act now to secure your reward
6433,ham email,Let's catch up this weekend
6434,spam email,"Your account has been compromised, verify now"
6435,ham email,Project update: tasks completed
6436,spam email,Claim your free gift card today
6437,spam email,Act now to secure your reward
6438,ham email,Weekly report submission
6439,spam email,"Your account has been compromised, verify now"
6440,spam email,"Congratulations, you won a lottery"
6441,ham email,Meeting scheduled for tomorrow at 10 AM
6442,ham email,Project update: tasks completed
6443,ham email,Invitation to team meeting
6444,ham email,Please find attached the project report
6445,ham email,Can we reschedule our call?
6446,spam email,"Limited offer, earn money fast from home"
6447,ham email,Can we reschedule our call?
6448,ham email,"Happy birthday, have a great day"
6449,spam email,"Win a free iPhone now, click here"
6450,ham email,Meeting scheduled for tomorrow at 10 AM
6451,ham email,Lunch plan for today?
6452,spam email,You have been selected for a prize reward
6453,spam email,You have been selected for a prize reward
6454,spam email,"Win a free iPhone now, click here"
6455,ham email,Meeting scheduled for tomorrow at 10 AM
6456,spam email,Act now to secure your reward
6457,ham email,Reminder to submit your timesheet
6458,spam email,"Congratulations, you won a lottery"
6459,ham email,Meeting scheduled for tomorrow at 10 AM
6460,spam email,"Exclusive deal just for you, click now"
6461,ham email,Can we reschedule our call?
6462,spam email,Act now to secure your reward
6463,spam email,"Win a free iPhone now, click here"
6464,ham email,"Happy birthday, have a great day"
6465,ham email,Meeting scheduled for tomorrow at 10 AM
6466,ham email,Meeting scheduled for tomorrow at 10 AM
6467,ham email,Lunch plan for today?
6468,spam email,Act now to secure your reward
6469,spam email,You have been selected for a prize reward
6470,spam email,"Congratulations, you won a lottery"
6471,spam email,Act now to secure your reward
6472,ham email,Project update: tasks completed
6473,spam email,Act now to secure your reward
6474,spam email,Urgent: update your bank details immediately
6475,spam email,You have been selected for a prize reward
6476,ham email,"Happy birthday, have a great day"
6477,spam email,"Congratulations, you won a lottery"
6478,spam email,Get rich quick with this simple trick
6479,spam email,Get rich quick with this simple trick
6480,ham email,Lunch plan for today?
6481,spam email,You have been selected for a prize reward
6482,spam email,Urgent: update your bank details immediately
6483,spam email,Act now to secure your reward
6484,ham email,Invitation to team meeting
6485,spam email,"Your account has been compromised, verify now"
6486,ham email,Let's catch up this weekend
6487,ham email,Let's catch up this weekend
6488,ham email,Invitation to team meeting
6489,spam email,"Congratulations, you won a lottery"
6490,ham email,Meeting scheduled for tomorrow at 10 AM
6491,spam email,Get rich quick with this simple trick
6492,spam email,You have been selected for a prize reward
6493,spam email,"Win a free iPhone now, click here"
6494,spam email,Claim your free gift card today
6495,spam email,Urgent: update your bank details immediately
6496,spam email,Get rich quick with this simple trick
6497,spam email,"Your account has been compromised, verify now"
6498,ham email,Please find attached the project report
6499,spam email,Urgent: update your bank details immediately
6500,spam email,"Limited offer, earn money fast from home"
6501,spam email,Act now to secure your reward
6502,ham email,Can we reschedule our call?
6503,ham email,Reminder to submit your timesheet
6504,ham email,Project update: tasks completed
6505,spam email,Act now to secure your reward
6506,ham email,Project update: tasks completed
6507,ham email,Can we reschedule our call?
6508,spam email,"Your account has been compromised, verify now"
6509,ham email,Lunch plan for today?
6510,ham email,Invitation to team meeting
6511,spam email,"Limited offer, earn money fast from home"
6512,spam email,"Exclusive deal just for you, click now"
6513,ham email,Can we reschedule our call?
6514,ham email,Project update: tasks completed
6515,spam email,Urgent: update your bank details immediately
6516,ham email,Meeting scheduled for tomorrow at 10 AM
6517,ham email,Please find attached the project report
6518,spam email,"Congratulations, you won a lottery"
6519,ham email,Meeting scheduled for tomorrow at 10 AM
6520,spam email,"Win a free iPhone now, click here"
6521,ham email,Lunch plan for today?
6522,ham email,Weekly report submission
6523,ham email,Please find attached the project report
